temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
22.4,0,0,86,23.2,19.9,1009,1016,0,0.43,10,1
10.1,1.7,360,56,6.9,1.7,1016.9,1022.4,,,10,1
14,1.3,50,96,15.3,13.3,1020.1,1024.2,0.4,0.3,6,3
26.7,3.4,290,87,30.4,24.3,1004.9,1012.8,,,2,0
17.9,2.4,50,94,19.2,16.9,1010.5,1013.8,,,10,1
21,1,200,84,20.8,18.1,1003.4,1011.4,0.1,0.05,0,0
9.4,1.4,230,82,9.6,6.4,999.1,1002.4,0,0.36,1,2
-6.7,2.8,320,37,1.4,-19,1026.3,1031.5,,,0,0
18.4,2,20,67,14.1,12.1,1021.3,1023,0.1,0.39,3,0
12.1,0.1,0,95,13.4,11.3,995.5,1006.9,,,10,1
24.3,0,0,98,29.7,23.9,997,1016.4,,,4,0
4.5,0.5,320,82,6.9,1.6,1024,1029,1,0.82,2,2
30.4,2.7,50,73,31.7,25,1001.9,1002.3,1,2.39,2,0
30,1.2,110,74,31.3,24.8,998.7,1003.1,0.9,1.53,4,2
29.6,2.6,200,77,31.9,25.1,1002.2,1002.5,0,0.5,9,3
11.4,0.6,50,73,9.8,6.7,1011.8,1016.3,,,0,0
26.6,0.8,140,100,34.6,26.5,989,1004,,,3,0
3.6,2.3,200,62,4.9,-3,1023.9,1024.7,,,8,3
23.7,2.2,50,68,19.9,17.4,1007.8,1015.8,,,8,3
15,3.9,270,66,11.2,8.6,1009.3,1016.5,0.4,0.25,0,2
3,0.1,0,58,4.4,-4.4,1018.5,1025.4,,,0,0
22.8,1.5,200,95,26.3,21.9,998.5,998.8,0,0.01,10,2
4.5,7.4,20,89,7.5,2.8,971.9,998.6,,,9,1
9.5,1.3,270,91,10.7,8,1003.8,1011.1,,,0,2
34.1,0.8,290,49,26.1,21.8,974.2,1009.5,1,,0,0
22.2,0,0,85,22.7,19.5,989.7,1005.8,,,3,0
12.7,4.1,200,59,8.6,4.8,1002.5,1010.8,1,1.77,0,2
-2.1,1.3,160,22,1.1,-21,1008.5,1026.4,1,,0,0
19.6,2.5,50,86,19.5,17.1,1005.6,1013.7,,,10,1
18.9,1.1,270,65,14.1,12.1,1003.2,1010.8,,,7,3
-4.1,2.3,290,55,2.5,-11.8,1018.7,1025.3,,,0,0
31.8,1.4,180,48,22.5,19.4,973.7,999.9,1,3.33,2,0
24.4,5.4,290,19,5.8,-0.7,991.7,1007.7,1,2.61,0,0
13.3,3.1,270,78,11.9,9.5,995.5,1004.4,,,10,1
8,0.6,50,90,9.6,6.4,1015.7,1016.5,,,0,0
19.1,3.5,290,18,4,-5.8,990.2,1006.4,1,,0,0
17.2,1.9,320,42,8.2,4.1,1010.5,1013.7,1,,0,0
-8.7,1.4,360,77,2.4,-12,1022.7,1024.6,,,0,0
5.3,3.2,250,63,5.6,-1.1,1020.6,1023.2,,,3,0
-3.7,0.5,20,79,3.7,-6.8,1016.2,1018,,,6,3
17.7,3.2,50,59,11.9,9.5,1008.2,1016.4,0.1,1.08,9,3
24.4,2.1,90,88,26.8,22.2,989.1,1014.2,0,0,10,1
23.2,0,0,88,24.9,21,983.9,999.9,0,0.44,10,1
23.4,1,290,88,25.2,21.2,1003.3,1003.8,,,10,1
2.4,2.1,140,83,6.1,-0.1,1012,1019.6,,,5,2
15.2,3.1,230,73,12.5,10.3,1007.6,1008.1,1,1.11,0,0
1.8,1.8,50,80,5.6,-1.2,1009.3,1020.1,,,9,2
20.8,0.6,230,78,19.1,16.8,1011.5,1014.9,1,1.78,0,0
23.4,0.6,290,98,28.1,23,1008.3,1011.2,,,8,3
12.2,0.2,0,76,10.7,8,999.3,1009,,,10,2
22.5,3.6,70,87,23.7,20.2,1007.7,1008.2,0,0.13,10,1
31.4,0.6,340,68,31.1,24.7,1003.2,1012.1,0.4,,8,3
4.8,1.2,70,70,6,-0.2,1024.5,1025.3,0,0,8,3
14.4,5.2,160,88,14.4,12.4,1009.2,1014.5,,,0,2
16.1,1.9,70,33,6,-0.2,1015.5,1018.8,1,2.33,0,0
9,3.2,180,63,7.2,2.3,981.9,1021,1,,2,0
11.5,0.6,180,78,10.5,7.7,997.3,1007,,,9,2
1.3,2.4,340,55,3.7,-6.7,1017,1023.6,,,9,4
28,1.3,230,74,27.9,22.9,999,1008,0.1,,8,3
3,1.7,270,49,3.7,-6.6,1013.6,1021,,,9,4
13.3,2.9,140,78,11.9,9.5,1018.6,1022,0.5,,8,3
13.1,0.1,0,90,13.5,11.4,1002.8,1008.3,,,10,3
8.2,0.1,0,71,7.7,3.2,994.6,1015.4,,,0,0
10.4,4.1,180,73,9.2,5.7,1005,1013.3,1,1.74,0,2
9.8,1,250,56,6.8,1.4,973.3,1011.9,1,,0,0
22.3,2.1,50,75,20.1,17.6,988.3,1015.9,0,0.07,7,3
12.8,0.1,0,63,9.3,5.9,1005.9,1012.2,0,1.05,9,3
20.7,0.4,0,58,14.1,12.1,982.3,1009.9,,,10,3
9,2.9,90,92,10.5,7.7,1003.4,1008.2,0,0.12,10,1
3.3,0.4,0,57,4.4,-4.4,1025.9,1027.6,,,0,0
27.8,7.7,250,81,30.2,24.2,1000.8,1008.8,0.7,0.58,3,0
-1.7,6.6,320,64,3.5,-7.6,1026.4,1032.2,,,9,4
17,1.4,160,88,16.9,14.9,1013.8,1020.3,,,9,1
15.4,0.9,250,79,13.7,11.7,1001.9,1011.4,,,0,0
27.7,0.8,180,79,29.3,23.7,1011.3,1011.6,,,0,0
-4.9,0.7,180,48,2,-14.2,1024.7,1026.5,,,0,0
11.9,1.9,290,35,4.9,-3.1,998.9,1019.7,0.5,,0,0
24.8,0.7,20,91,28.4,23.2,988.1,1003.2,,,0,0
24.2,0.2,0,92,27.7,22.8,1003.4,1011.4,0,0.25,10,1
-4.4,1,90,88,3.9,-6,1006.2,1027.4,,,6,3
1.4,1.6,250,66,4.5,-4.2,1019.2,1024.9,,,0,0
19.6,1.9,230,91,20.6,18,1002.2,1004.2,,,7,3
14,0.7,340,46,7.3,2.5,1005.4,1011.4,,,0,0
20.1,2.9,50,81,19,16.7,995.4,1005.3,0,0.01,10,1
14.5,2.8,180,64,10.5,7.7,959.5,1006.5,0.6,,6,3
11.3,1.3,90,89,11.9,9.5,983.5,1012.1,,,7,3
3,0.8,360,67,5.1,-2.5,1000.2,1021.5,,,10,3
0.1,12.7,320,64,3.9,-5.9,1020.6,1030.2,0.2,0.99,9,4
-4.5,2.5,340,87,3.8,-6.3,1019.4,1027.2,0,0.01,0,2
17.2,4,160,88,17.2,15.1,1008.1,1016.3,0.6,0.37,7,2
11.4,3.7,320,30,4.1,-5.5,997.3,1015.6,0,0.23,6,3
24.1,2.2,320,32,9.5,6.3,1007.2,1011.3,1,2.62,0,0
17.5,4,200,91,18.2,16,979.4,1005,0,0.69,8,1
24.8,6.3,290,24,7.5,2.8,991.6,1006.3,1,1.42,0,0
25.6,0.8,230,87,28.4,23.2,1008.7,1016.2,0,0.19,10,1
-7.3,2.1,140,77,2.7,-10.6,1020.4,1028.3,,,7,3
1.8,0.7,320,61,4.2,-4.9,1016,1022.9,1,0.47,0,0
21.2,1.5,50,70,17.6,15.5,1014.1,1017.8,,,7,3
32.7,2.1,160,54,26.6,22.1,997.6,1006.6,1,3.24,3,2
27.7,0.7,180,86,31.9,25.1,986.4,1003.8,,,1,0
6.9,0.7,160,33,3.3,-8.2,1019.6,1025.5,1,,0,0
20,0.8,320,69,16.1,14.1,1012,1016.7,,,9,3
26.8,2.2,140,96,33.8,26.1,1008.6,1013.7,,,5,2
19.2,0,0,99,22,19,1005.6,1009.2,,,9,3
24.2,5.4,230,94,28.3,23.1,984.2,1009.2,0,0.26,10,2
-3.5,3.5,320,21,1,-22.7,1003.4,1022.8,0.6,0.24,0,0
22,0.4,0,98,25.8,21.6,1000.1,1011.1,0,0.07,10,2
13.6,2.3,340,93,14.4,12.4,1002.7,1011.2,0.8,0.84,2,0
4,3.3,290,50,4.1,-5.5,1008,1019,,,7,3
20.9,1.4,200,79,19.5,17.1,1004.7,1009.9,0,,7,3
24.3,1.9,90,70,21.2,18.4,1005.3,1014.6,0,,9,3
-2.8,4.8,270,25,1.2,-20.1,1018.6,1023.8,,,0,0
1.7,0.4,0,95,6.5,0.9,1004.2,1018.6,,,10,3
24.1,3.9,50,34,10.2,7.2,1001.2,1016,1,0.47,0,0
5.6,0.8,250,87,7.9,3.6,1007.8,1017.1,,,10,1
13,0.1,0,91,13.6,11.5,1001.9,1010.9,,,7,2
20.2,1.7,90,87,20.5,17.9,1000.9,1017.3,0,0.58,10,1
0.8,0.8,320,94,6.1,0,1014.5,1019.5,,,6,2
7.5,0.9,270,71,7.3,2.5,1008.6,1019.1,0,0.11,5,2
1.2,14.4,340,69,4.6,-3.8,1013.3,1022.8,,,9,4
6.8,12,270,52,5.2,-2.3,911.4,1000.4,,,6,3
-5.8,0.6,110,97,3.8,-6.2,1010.1,1021.1,,,0,0
15.2,2.3,200,94,16.2,14.2,1010.1,1018.3,,,6,2
13.1,1.2,230,66,9.9,6.8,1016.3,1019.7,0,0.14,7,3
6.1,0.6,180,64,6,-0.2,1009.9,1017.1,0,0,5,2
23.3,0.7,250,86,24.6,20.8,1010.6,1016.6,,,8,3
20.9,2.1,180,56,13.7,11.7,1013,1015.4,,,7,3
16.8,2.5,270,78,14.9,12.9,1018.4,1020.5,,,4,0
15.1,0.3,0,93,15.9,13.9,1008.6,1013.3,,,0,2
17,0,0,80,15.5,13.5,1003,1006.9,0,0.04,10,3
-0.2,9.4,20,55,3.3,-8.1,1023,1028.7,1,1.02,2,0
-2,5.6,340,54,2.9,-10,1020.6,1027.3,0.7,1.65,7,3
-0.1,2.2,20,82,5,-2.8,1017.5,1022.1,0.4,0.45,10,4
28.1,3.7,360,70,26.6,22.1,1003.1,1007.6,,,2,0
0.8,1.3,20,34,2.2,-13.3,1016.1,1024.7,,,10,3
8.8,1.9,230,52,5.9,-0.5,983.3,1015.1,,,0,0
22.1,1.7,290,69,18.3,16.1,1000.6,1010.5,0,0.24,7,3
20.5,0.6,90,94,22.5,19.4,999.2,1010.3,0,,6,3
10,1.7,340,69,8.4,4.5,1019,1023.3,,,0,0
33.1,1.2,180,53,26.8,22.2,997.3,1006.3,1,3.35,2,2
7.8,1.6,360,71,7.5,2.8,1024.4,1026.4,,,8,3
-0.4,0.1,0,69,4.1,-5.4,1024.7,1028.1,,,2,0
23.2,1.2,20,85,24.1,20.5,1009.5,1010.7,0,0.02,9,3
30.7,4.3,230,71,31.3,24.8,1009.1,1015.9,0.6,2.45,8,1
11.4,2.3,180,51,6.9,1.6,1020.3,1024.6,0.8,1,2,1
8.7,1.4,90,92,10.3,7.4,1018.5,1025.2,,,2,2
-3.7,2.5,20,92,4.3,-4.8,1019.7,1025.5,0,0.38,7,4
23.9,8.1,180,94,27.7,22.8,999.4,1008,,,10,2
9.1,3.6,200,68,7.8,3.4,987.1,1016.9,0.6,,0,0
23.6,2,230,61,17.7,15.6,995.3,1012.5,1,2.56,4,0
21.1,1.5,250,87,21.7,18.8,1017.1,1020.3,0,0.59,10,3
21.1,3.1,270,87,21.7,18.8,919.8,1004.7,0,0.47,10,3
18.3,9.7,90,85,17.8,15.7,1008.2,1017,,,10,1
-6.9,2.3,320,42,1.5,-17.6,1004.4,1024.1,,,0,0
19.3,0.6,340,94,21,18.3,998.8,1016.3,,,9,3
16.5,4.5,230,83,15.5,13.5,1011,1017.2,0,0.02,10,1
20.1,1.6,110,95,22.2,19.2,1005.7,1010.9,0,0.26,10,1
25.8,2.1,320,33,10.9,8.2,1002.8,1009,0.1,0.05,8,3
4.7,1.4,270,61,5.2,-2.1,1020,1025.7,,,0,0
9.8,3,200,89,10.7,8,1012.8,1017.8,0,,2,0
24.7,0.9,140,87,26.9,22.3,1002.3,1009,0,0.18,10,1
13.5,2.8,180,90,13.8,11.8,1008.5,1012.8,,,8,2
-3.9,4.5,320,45,2.1,-14.1,1013.4,1030.1,1,1.66,0,0
2.6,3,180,37,2.7,-10.6,1011.3,1020,,,0,0
4,3,70,75,6.1,0,1015.8,1021.4,,,0,2
-0.1,0.9,360,78,4.8,-3.4,1015.5,1024.4,0,0.08,0,2
19.9,0.4,0,95,22,19,934.7,1014.6,,,3,0
-6.9,1,180,39,1.4,-18.5,1018.8,1031.4,1,1.66,0,0
4.5,10.9,320,59,5,-2.8,1016.8,1025.7,0.7,0.2,0,0
8.9,8.3,360,76,8.6,4.8,1016.6,1022.1,0.6,0.7,1,2
14.3,4.1,250,32,5.2,-2.2,1010.4,1016.1,1,,0,0
20.6,3.8,50,69,16.7,14.7,1011.4,1019.5,,,3,0
24.7,3.5,20,94,29.1,23.6,1000.5,1009.1,,,0,2
33,1.4,250,59,29.7,23.9,1005.3,1010.4,1,,0,0
24.8,0,0,93,28.9,23.5,1010.1,1013.3,,,2,2
8.6,0.2,0,68,7.6,3,978.5,1027.6,1,,0,0
16.9,1.2,20,97,18.6,16.4,1003.5,1007.7,0,0.05,10,2
24.5,0,0,97,29.7,23.9,996.5,1007.4,,,9,2
25.7,1.6,200,71,23.4,20,1011,1016.9,0,0.33,10,1
15.7,1.4,270,27,4.8,-3.2,971.4,1007.6,1,,0,0
-1.8,2.5,270,27,1.5,-18.3,983.2,1022.4,,,0,0
7,2.1,50,25,2.5,-11.7,1012.2,1020.6,1,1.15,0,0
12.1,1.4,230,69,9.7,6.5,1001.4,1011,,,0,0
-6.5,3.9,340,57,2.1,-13.6,1020,1025.2,,,0,0
19.9,0.2,0,98,22.7,19.5,998.9,1008.7,,,10,3
24,0.4,0,93,27.6,22.7,1014.1,1014.4,,,2,2
29.6,3.9,160,87,35.9,27.1,1003.9,1012.3,0.5,1.2,7,1
5.3,0.3,0,92,8.1,4,1007.9,1019.8,,,8,2
19,3.8,50,83,18.2,16,1007.7,1014.6,,,10,1
12.2,0.3,0,100,14.1,12.1,1001.1,1019.4,,,8,3
19.3,1.8,200,89,19.9,17.4,1007.2,1011.4,0,0.01,0,2
20.9,1.8,20,50,12.3,10,928.2,1007.3,0.1,0.54,9,3
0.1,0.9,320,91,5.6,-1.1,1009.2,1018.8,0,0.01,9,3
-1.3,0.4,0,99,5.5,-1.4,992.5,1025.9,,,0,0
25.3,0.6,160,94,30.2,24.2,1007.4,1011,,,2,0
20.3,0.8,270,86,20.4,17.8,1005.3,1012.1,0,0,9,2
-3.1,5.5,270,59,2.9,-9.9,1006.3,1017.2,,,8,4
-2.3,5.2,340,53,2.7,-10.6,1021.8,1023.1,,,9,3
-0.1,0,0,100,6.1,-0.1,981.4,1032.3,,,0,0
26.6,0.6,250,81,28.1,23,1007.6,1012.8,0,,4,0
24.3,3.4,180,86,26.1,21.8,997.8,1004.7,0,0.1,10,1
-2.3,0.2,0,85,4.4,-4.4,1020.3,1025.1,,,10,3
9.7,0.4,0,86,10.3,7.4,1005.8,1010,0,0,0,2
18.1,1.9,290,75,15.5,13.5,1012.2,1012.4,,,4,0
10,0.6,140,90,11,8.4,1011.6,1017,,,0,0
27.1,1.9,70,49,17.5,15.4,1017.2,1018.2,0.6,2.37,6,3
20.7,0.8,270,76,18.5,16.3,1005.1,1010.7,0,,7,3
-2.7,1.8,250,82,4.1,-5.3,1012.4,1022,,,10,4
29.6,3.6,200,80,33,25.7,1006.6,1011.6,0.6,0.28,2,0
-7.2,2.1,250,34,1.2,-20.4,1021.3,1021.8,,,0,0
14.2,8.8,250,99,16,14,968.3,993.9,0,0.14,10,2
-2.7,5.2,20,78,3.9,-6,994.5,1022.5,,,9,4
-3.7,0,0,98,4.6,-3.9,1010.5,1030.5,0,0,0,0
17,6.9,290,36,7,1.8,983.6,1000,,,0,2
18.7,3.8,320,56,12,9.7,1010.3,1015.6,1,,0,0
5.7,0.5,340,69,6.3,0.4,993.7,1019.6,0,,6,3
11.5,0.8,50,92,12.4,10.2,995.3,1005.5,0,0.02,9,2
13.4,3.7,230,71,10.9,8.2,1012.2,1012.6,0.7,1.42,1,1
2.7,0.4,0,93,6.9,1.6,1010.6,1019.4,,,10,2
-4.4,0.1,0,91,4,-5.6,1008.7,1025.4,0,0.01,0,0
10,2.1,110,44,5.4,-1.7,1004,1008.8,,,6,3
16.1,1.3,290,39,7.1,2.1,1019.4,1025.1,1,,0,0
20.9,1.6,320,71,17.5,15.4,969.9,1006.7,,,8,3
9.1,3,230,74,8.5,4.7,1012.7,1016.1,0,0.08,0,2
0.6,0.8,20,92,5.9,-0.5,1006.2,1011.2,0,0.08,10,4
-6.1,0,0,78,3,-9.3,1028.2,1029.8,,,10,3
21.2,0.1,0,86,21.6,18.7,1006.5,1013.3,0,0.29,10,1
24.4,2.2,290,71,21.6,18.7,1003.2,1011.9,0,0.71,10,3
15.5,1.2,140,69,12.1,9.8,1007.5,1017.2,0.3,,8,3
16.6,2,70,64,12,9.7,1023.4,1024.2,,,0,0
-3.8,2.3,70,75,3.5,-7.5,991,1019.1,,,8,4
28.6,3.6,180,85,33.2,25.8,1010.3,1011.4,0.8,0.6,3,0
20.2,1.3,340,82,19.4,17,994.2,1019.9,,,8,3
25.8,1.7,160,89,29.5,23.8,1002.9,1013.1,,,7,3
12.9,2.6,290,47,7,1.8,1016.1,1016.6,0.2,0.24,5,2
28,4.1,230,82,30.9,24.6,995.6,1004.7,0.2,1.4,8,1
-2.7,2,20,82,4.1,-5.3,997.1,1025.2,0,0.09,9,4
20,2.7,250,82,19.1,16.8,1001.5,1008.5,0,0,9,1
15.8,0.3,0,97,17.4,15.3,997.2,1013.9,,,0,2
8.1,1.3,270,22,2.4,-12.3,1022.9,1023.9,1,0.76,0,0
-3.1,3.5,270,23,1.1,-21.3,1020.6,1025.8,1,0.99,0,0
5.9,2.6,360,48,4.5,-4.2,1018.5,1027.1,0.3,0.25,0,0
15.5,8.3,360,85,14.9,12.9,1010,1019,,,10,1
23.3,1.4,230,57,16.2,14.2,1010.7,1017,1,2.46,0,0
12.3,1.7,290,87,12.4,10.1,1011.9,1016.2,1,0.82,0,2
8.9,3.6,270,84,9.5,6.3,1005.9,1013.3,,,10,2
-0.2,1.7,320,86,5.2,-2.2,1014.4,1023.2,,,10,4
3.1,1,140,82,6.2,0.3,1016.7,1025.4,,,8,2
5.9,2.9,290,47,4.4,-4.5,1014.1,1020.5,,,8,1
20.5,1.4,320,60,14.4,12.4,1012.2,1016.1,1,2.31,7,3
4.5,1.7,20,72,6.1,-0.1,1010.7,1019.4,,,7,2
18.7,1.9,90,21,4.5,-4.1,1011.2,1017,1,2.39,0,0
5.2,0,0,85,7.5,2.8,1009.1,1017.5,,,0,2
32.7,2.2,180,60,29.7,23.9,996.5,1001.7,1,,0,0
20.7,0.5,270,94,22.8,19.6,995.1,1014.2,0,,9,3
5,1.4,20,65,5.7,-1,1015.7,1020.1,,,8,3
29,1.4,90,79,31.5,24.9,1007.6,1013.5,0.2,1.64,8,1
1.6,4,200,63,4.3,-4.6,1009.5,1018,0,0.55,10,4
23.9,1.2,230,75,22.1,19.1,997.3,1007.4,0,0.26,10,3
-1.1,0.8,250,51,2.9,-9.9,1019.3,1025.1,,,0,0
8.2,4.8,320,73,7.9,3.6,1019.3,1027.7,,,5,2
4.5,2.6,90,61,5.2,-2.3,1011.7,1021.8,,,0,0
17.6,1,230,95,19,16.7,995.2,999.4,,,7,2
26.4,3.5,320,85,29.1,23.6,1004,1006.4,,,9,1
23,1.4,90,94,26.3,21.9,1006.9,1011.1,0.2,0.09,4,2
0.6,2.6,320,63,4,-5.6,1018.8,1025.5,,,0,0
12.5,0.9,360,40,5.8,-0.7,1014.4,1018.7,1,1.65,0,0
4.2,4.9,250,42,3.5,-7.6,994.1,1003.3,0.8,1.03,5,4
27.2,1.5,50,96,34.4,26.4,1004.3,1006.6,,,0,0
-0.4,0.7,230,81,4.8,-3.2,997.9,1026.7,,,0,0
24.4,0.6,200,90,27.4,22.6,992.1,998.9,0,0.36,10,1
14.2,1.4,70,77,12.4,10.2,1002.4,1018.3,,,0,0
19.9,3.8,90,85,19.6,17.2,1011,1014.2,0,0.74,10,1
24.2,8.1,180,98,29.5,23.8,999.6,1004.7,0,0.21,10,1
23.2,2.2,340,85,24.1,20.5,984.1,993.8,0,0.34,10,1
8.1,3.8,70,67,7.2,2.3,1009,1020.8,0,,9,3
1.2,0.7,320,85,5.7,-1,1004.7,1016.8,,,0,0
26.5,0.7,250,86,29.7,23.9,1004,1004.9,0.2,0.44,7,3
7.2,0.3,0,61,6.2,0.1,1007.8,1012.1,,,0,0
11.8,0.4,0,90,12.4,10.2,1008.7,1012.7,,,3,0
3.1,2.4,160,92,7,1.9,1012.5,1018.1,0,0.04,2,2
10.7,2.2,270,83,10.6,7.9,1010,1014.8,0,0.33,7,2
7.6,8.7,180,96,9.9,6.9,1005.2,1014.4,0.1,0.08,0,2
30.5,0.8,340,74,32.2,25.3,999.6,1005.3,1,0.93,0,0
17.9,2,340,89,18.2,16,1003.8,1009.1,0,,2,0
5,0.6,290,75,6.5,0.9,1017.8,1028.5,,,0,2
-1.3,0.6,140,56,3.1,-8.9,999.5,1017.3,,,0,0
9.6,4.3,20,32,3.8,-6.3,998.5,1025.4,,,0,0
15.1,3.7,90,75,12.8,10.6,1005.8,1014.1,0,1.05,9,3
11.3,0.4,0,91,12.1,9.8,1007.2,1007.6,,,0,2
14.2,2.8,250,44,7.1,2.1,1009.8,1021.3,1,,3,0
25.3,1.5,360,92,29.5,23.8,1008.7,1014.6,,,9,1
-1.8,5.8,320,24,1.3,-19.7,1020.4,1025.6,,,4,0
23.8,0.6,70,82,24.1,20.5,998.1,1013.4,0,,10,3
8.8,0.1,0,91,10.3,7.4,1019.4,1026.7,,,0,0
19.3,0.3,0,75,16.7,14.7,999.2,1007.9,,,0,0
26.2,0.7,140,78,26.4,22,997.9,1001.2,0.8,1.6,8,3
34.8,2.5,290,54,30,24.1,1002.3,1009,0.9,2.45,3,0
18.9,0.8,90,90,19.6,17.2,1007.4,1015.4,,,10,1
20.3,2.9,50,85,20.1,17.6,1005.3,1015.3,0,0.48,10,1
-3.8,0.2,0,86,4,-5.8,1010.2,1028.4,,,0,2
3.5,0.3,0,93,7.3,2.4,991.4,1021.9,,,0,0
22.9,0,0,92,25.6,21.5,978.4,1004.2,,,9,3
25,1.1,340,63,19.9,17.4,1012,1019.8,1,2.79,5,0
2.8,3.3,250,29,2.2,-13.5,1014.6,1020.7,,,0,0
27.2,1.2,320,93,33.4,25.9,985.3,1001.1,0,0.24,10,1
0.7,0.4,0,97,6.2,0.2,988.9,1027.9,,,0,0
30.5,1.3,270,63,27.4,22.6,986.6,1014,1,,5,0
25.9,1.3,270,64,21.3,18.5,1004.5,1007.7,,,3,0
30.4,2.5,250,71,30.7,24.5,1004.9,1011,1,0.82,3,0
12.6,1.3,250,74,10.7,8,1010.6,1016.5,,,8,3
22.6,0.8,140,76,20.8,18.1,997.5,1015,0,0.4,9,3
23.6,4.5,270,90,26.1,21.8,930,1015,,,6,3
15.7,2.7,20,82,14.6,12.6,1017.6,1019.6,0,,10,3
5.2,3.2,290,67,5.9,-0.4,993.5,1013.7,0,,10,3
24.5,2.6,180,100,30.6,24.4,1005.7,1010.8,0,0.1,10,1
24.6,0.4,0,88,27.1,22.4,1008,1008.3,,,0,2
-3.2,4.4,360,83,4,-5.6,1014.1,1023.1,,,8,4
6.7,2.7,290,45,4.4,-4.4,1019.6,1025.3,1,,2,0
8.4,6.9,270,84,9.2,5.8,1007.7,1015.1,0.3,0.85,10,1
8.8,2.7,270,12,1.4,-19.1,1017,1023.7,0,0.01,5,0
19.6,0.7,290,86,19.5,17.1,1006.9,1012.6,,,4,0
15.5,0.9,230,83,14.6,12.6,1007.7,1016.1,0,0.37,10,2
28.3,1.4,230,34,13,10.9,961.5,1006.2,1,,0,0
8.8,2.4,180,50,5.7,-1,1010.5,1018.9,1,1.13,0,0
-2.8,6.5,50,83,4.2,-5.2,1022.4,1028.2,1,1.85,7,4
5.9,3.8,340,44,4.1,-5.4,1010.1,1012.3,,,2,0
-0.7,6.8,320,29,1.7,-16.5,995.5,1022.1,0.5,,9,3
1.2,0.7,70,88,5.9,-0.5,1001.3,1018,,,8,3
-1.4,0.3,0,93,5.2,-2.3,1006.5,1022.9,0.1,0.12,0,0
27.1,0.3,0,73,26.1,21.8,993.7,995.2,0.7,,6,3
18.3,0,0,99,20.8,18.1,1005.2,1013.2,,,10,1
14.3,0.5,200,35,5.7,-0.9,999.5,1009.6,,,7,3
2.9,3,270,88,6.6,1.1,1026.4,1026.6,,,0,0
10.1,1.5,20,72,8.8,5.2,1018.3,1024.7,,,0,0
20.7,2.2,290,89,21.7,18.8,1012.4,1012.6,,,0,0
16.2,4.9,270,38,7,1.8,1003.4,1012.3,,,0,0
27.7,0.5,270,72,26.6,22.1,1000.2,1005.5,,,7,3
14.6,5.7,250,73,12.1,9.8,1004.7,1007.2,0,0.5,9,3
12.9,0,0,83,12.3,10,1018.7,1020.7,0.5,,0,0
8.2,1.8,340,68,7.4,2.6,1009.3,1019.2,,,10,1
20.4,0.7,270,79,18.9,16.6,1002.4,1007.7,0,,9,3
17.7,2,140,63,12.7,10.5,985.8,1010,0.1,0.61,10,3
7.3,0.1,0,35,3.6,-7.1,1011.2,1017.9,,,0,2
11.7,1.3,200,68,9.3,5.9,1012.1,1020.6,,,8,2
7.3,1.7,180,66,6.7,1.3,1017.9,1018.3,0.1,1.24,9,1
16.9,1.3,270,95,18.2,16,1000.6,1005.8,,,1,2
17.1,2.1,50,41,8,3.7,1015.1,1022.1,0.7,0.46,1,0
10.4,1.9,200,93,11.7,9.3,1007,1015.2,,,0,2
24.1,0.9,160,89,26.6,22.1,974,1009.1,,,6,3
16.8,0.6,110,80,15.3,13.3,928.4,1015.6,0.1,0.06,8,3
10.1,4.3,270,56,6.9,1.7,1010,1019.9,,,10,3
21.4,0.2,0,95,24.1,20.5,1010.1,1014.7,,,4,2
17.9,2.2,250,57,11.6,9.2,1016.3,1023.5,0.9,1.82,1,2
5.8,0.2,0,64,5.9,-0.4,991.9,1022.2,,,10,3
15,2.3,250,32,5.5,-1.5,990.3,1021.6,1,,1,0
12.8,2,250,99,14.6,12.6,999.1,1007.6,,,5,0
26.5,3.7,270,42,14.5,12.5,1002,1004,1,1.4,0,0
28.2,7.7,230,84,32.1,25.2,1003.6,1011.7,,,3,0
4.8,2,290,76,6.5,0.9,1016.7,1020.2,,,0,2
26.1,3.7,290,37,12.4,10.2,998.8,1005.6,1,3.53,0,0
15.2,2.5,200,94,16.2,14.2,995.4,995.9,,,9,2
4.8,0.8,140,80,6.9,1.6,1019.5,1021.3,,,3,0
16.7,3.8,180,32,6.1,0,1018,1018.4,1,1.89,0,0
3.8,2.3,200,76,6.1,0,984.3,1002.6,0,0,4,0
28.6,2.7,20,69,26.9,22.3,1009.4,1011.8,1,3.42,5,0
30.7,2,20,54,23.8,20.3,1009.4,1010.8,1,,1,0
19,3.2,250,43,9.4,6.1,1000.8,1005.5,0.5,,5,0
19.1,0.2,0,57,12.5,10.3,1003.9,1015.1,,,8,3
7.1,1.2,70,50,5,-2.6,1011.1,1029.7,0.8,0.66,6,3
16.9,1.8,20,27,5.2,-2.2,1017.2,1025.3,1,1.52,0,0
17,1.2,90,20,3.9,-6.1,1014.8,1020.2,1,,0,0
10.9,1.6,110,85,11,8.4,1001.3,1007.8,0,0.22,10,1
14.5,1.1,290,39,6.4,0.6,999.9,1020.5,1,,0,0
11,4,290,26,3.4,-7.8,1015,1020.4,1,,0,0
17.3,1.2,340,89,17.5,15.4,998.2,1000.1,,,10,3
22.4,2.4,200,16,4.3,-4.6,962.5,1008.2,1,,5,0
